version,run,valid,commit,change_type,unique_variable,window_minutes,candidates,pure_fbs,reliable_cost,profit_pass,submitted,in_window_confirmed,carry_in_confirmed,own_in_window_confirmed,late_confirmed,attributable_finals,strict_per_hour,production_per_hour,pure_fbs_rate,reliable_1688_rate,final_conversion,captcha,soft_block,browser_crash,runtime_error,production_files_changed
v135,20260724_155700_ozon10m_v135,true,6f783fc20d9144bfaa5a3263b2439f96d8f6d95a,配置,continue-exact-page-dispatch-with-pending-reconciliation,10,16,12,7,6,6,0,0,0,5,5,0,30,0.75,0.5833333333333334,0.8333333333333334,0,0,0,0,
v136,20260724_161100_ozon10m_v136,true,db3fa7c5b7209e03d3beed835a737e22540c5bda,配置,continue-exact-page-dispatch-with-pending-reconciliation,10,6,5,4,4,4,3,3,0,4,4,18,24,0.8333333333333334,0.8,1,0,0,0,0,
v137,20260724_162230_ozon10m_v137,true,b57fb922b337edf339e400476e7e40cb621c5d9e,配置,continue-exact-page-dispatch-with-pending-reconciliation,10,4,1,1,1,1,4,4,0,1,1,24,6,0.25,1,1,0,0,0,0,
v138,20260724_163600_ozon30m_v138,false,c70e6a24d8d139cbad848807ca2faeba6c27a436,配置,broaden-exact-frontier-across-top-full-funnel-sellers,30,,,,,,,,,,,,,0.7777777777777778,0.7142857142857143,1,0,0,0,0,
v139,20260724_174300_ozon30m_v139,true,c70e6a24d8d139cbad848807ca2faeba6c27a436,配置,continue-exact-frontier-across-top-full-funnel-sellers,30,24,20,17,12,12,10,3,7,3,10,20,20,0.8333333333333334,0.85,0.8333333333333334,0,0,0,0,
v140,20260724_182000_ozon10m_v140,true,ed49e7ef4a91a80c19ffc88405e51f363de88782,配置,narrow-frontier-to-v139-highest-candidate-yield-sellers,10,5,5,4,3,3,4,1,3,0,3,24,18,1,0.8,1,0,0,0,0,
v141,20260724_183200_ozon10m_v141,true,dcd590b9d869321f255a863432c3d047bf11ac97,配置,candidate-queue-per-source-drain-2-to-4,10,25,12,11,5,5,2,0,2,1,3,12,18,0.48,0.9166666666666666,0.6,0,0,0,0,
v142,20260724_184500_ozon10m_v142,true,2211c78db47bd1072f0f32c1190e21106d5d1fd0,配置,query-variant-frontier-instead-of-base-seller-deep-pages,10,16,10,8,6,6,3,1,2,1,3,18,18,0.625,0.8,0.5,0,0,0,0,
v143,20260724_185700_ozon10m_v143,true,7db6f8f9a66603f3e885dde110d1fef4638ec0d0,配置,latest-full-funnel-source-reranking,10,21,13,11,7,7,7,1,6,1,7,42,42,0.6190476190476191,0.8461538461538461,1,0,0,0,0,
v144,20260724_191000_ozon30m_v144,true,64e7291ba8f3fb4000787f2dc3f6dee18c63dbc7,配置,expand-v143-passing-source-frontier-for-30m,30,9,6,4,1,1,2,1,1,0,1,4,2,0.6666666666666666,0.6666666666666666,1,0,0,0,0,
v145,20260724_194500_ozon10m_v145,true,a3a71563b5935ac7868abc75dcdef0620408b589,配置,replace-dry-deep-pages-with-historical-high-final-yield-pages,10,23,14,10,6,6,1,0,1,3,4,6,24,0.6086956521739131,0.7142857142857143,0.6666666666666666,0,0,0,0,
v146,20260724_195700_ozon10m_v146,true,99f8dacc277cc614290df099c31892b5894ec115,配置,shrink-and-rerank-to-pages-with-observed-candidate-headroom,10,5,5,4,2,2,5,3,2,0,2,30,12,1,0.8,1,0,0,0,0,
v147,20260724_201000_ozon30m_v147,true,3411e6b405167698f7fb433fe06c08e879c564a1,配置,expand-passing-fresh-headroom-source-strategy-for-30m,30,20,16,13,6,6,5,0,5,0,5,10,10,0.8,0.8125,0.8333333333333334,0,0,0,0,
v148,20260724_204200_ozon10m_v148,true,5a5dc11affb054cb01fc6d1fd6f07954468636ab,配置,remove-zero-yield-sellers-and-focus-scan-on-miaowu,10,6,6,5,3,3,1,0,1,1,2,6,12,1,0.8333333333333334,0.6666666666666666,0,0,0,0,
v149,20260724_205500_ozon10m_v149,true,c9c97b733fb4200d2a34088e87c990498228ca78,配置,replace-miaowu-deep-pages-with-unexplored-proven-seller-pages,10,5,5,1,1,1,1,1,0,0,0,6,0,1,0.2,0,0,0,0,0,
